"Crawl Overview Report by the Screaming Frog SEO Spider (9.4)"
"Site Crawled","http://axa.pl/"
"Date","poniedziałek, lip 23, 2018"
"Time","14:42:25 CEST"
""
"Summary","Number of URI","% of Total URI","Total URI","Total URI Description"
"All","8381","100,00%","8381","Internal pages with 2xx response"
"Missing Confirmation Links","0","0,00%","8381","Internal pages with 2xx response"
"Inconsistent Language Confirmation Links ","0","0,00%","8381","Internal pages with 2xx response"
"Non Canonical Confirmation Links","0","0,00%","8381","Internal pages with 2xx response"
"Noindex Confirmation Links","0","0,00%","8381","Internal pages with 2xx response"
"Incorrect Language Codes","0","0,00%","8381","Internal pages with 2xx response"
"Multiple Entries","0","0,00%","8381","Internal pages with 2xx response"
"Missing Self Reference","0","0,00%","8381","Internal pages with 2xx response"
"Not Using Canonical","0","0,00%","8381","Internal pages with 2xx response"
"Missing X-Default","0","0,00%","8381","Internal pages with 2xx response"
"Missing","8381","100,00%","8381","Internal pages with 2xx response"
""
"AJAX"
"All","0","0,00%","0","Internal pages crawled in escaped fragment form"
"With hash fragment","0","0,00%","0","Internal pages crawled in escaped fragment form"
"Without hash fragment","0","0,00%","0","Internal pages crawled in escaped fragment form"
""
"Custom"
"Filter 1","0","0,00%","2719","Internal HTML pages with 2xx response"
"Filter 2","0","0,00%","2719","Internal HTML pages with 2xx response"
"Filter 3","0","0,00%","2719","Internal HTML pages with 2xx response"
"Filter 4","0","0,00%","2719","Internal HTML pages with 2xx response"
"Filter 5","0","0,00%","2719","Internal HTML pages with 2xx response"
"Filter 6","0","0,00%","2719","Internal HTML pages with 2xx response"
"Filter 7","0","0,00%","2719","Internal HTML pages with 2xx response"
"Filter 8","0","0,00%","2719","Internal HTML pages with 2xx response"
"Filter 9","0","0,00%","2719","Internal HTML pages with 2xx response"
"Filter 10","0","0,00%","2719","Internal HTML pages with 2xx response"
"Extraction","0","0,00%","2719","Internal HTML pages with 2xx response"
""
"Analytics"
"All","7270","100,00%","7270","Internal URI with associated Google Analytics data"
"Sessions Above 0","0","0,00%","7270","Internal URI with associated Google Analytics data"
"Bounce Rate Above 70%","0","0,00%","7270","Internal URI with associated Google Analytics data"
"No GA Data","0","0,00%","7270","Internal URI with associated Google Analytics data"
""
"Search Console"
"All","7270","100,00%","7270","Internal URI with associated Google Search Console data"
"Clicks Above 0","0","0,00%","7270","Internal URI with associated Google Search Console data"
"No GSC Data","0","0,00%","7270","Internal URI with associated Google Search Console data"
""
"Link Metrics"
"All","3722","100,00%","3722","Link Metrics All"
""
""
"Depth (Clicks from Start URL)"
"0","0","0,00%","2719","Internal HTML pages with 2xx response"
"1","1","0,04%","2719","Internal HTML pages with 2xx response"
"2","47","1,73%","2719","Internal HTML pages with 2xx response"
"3","507","18,65%","2719","Internal HTML pages with 2xx response"
"4","729","26,81%","2719","Internal HTML pages with 2xx response"
"5","757","27,84%","2719","Internal HTML pages with 2xx response"
"6","613","22,55%","2719","Internal HTML pages with 2xx response"
"7","32","1,18%","2719","Internal HTML pages with 2xx response"
"8","31","1,14%","2719","Internal HTML pages with 2xx response"
"9","1","0,04%","2719","Internal HTML pages with 2xx response"
"10+","1","0,04%","2719","Internal HTML pages with 2xx response"
""
"Inlinks (Top 20 URI)"
"https://axa.pl/polityka-plikow-cookie/","2030","74,66%","2719","Internal HTML pages with a 2xx response or 3xx responses"
"https://axa.pl/polityka-prywatnosci/","2030","74,66%","2719","Internal HTML pages with a 2xx response or 3xx responses"
"https://axa.pl/o-nas/axa-w-polsce/informacja-publiczna-dotyczaca-przetwarzania-danych-osobowych/","2028","74,59%","2719","Internal HTML pages with a 2xx response or 3xx responses"
"https://blog.axa.pl/?utm_source=axa.pl&utm_medium=stopka&utm_campaign=stopka_ikonka&_ga=1.85821913.1942964258.1476101637","2027","74,55%","2719","Internal HTML pages with a 2xx response or 3xx responses"
"https://axa.pl/biznes/","2025","74,48%","2719","Internal HTML pages with a 2xx response or 3xx responses"
"https://axa.pl/emerytura/ofe-otwarty-fundusz-emerytalny/wszystko-o-axa-ofe/inwestowanie/","2025","74,48%","2719","Internal HTML pages with a 2xx response or 3xx responses"
"https://axa.pl/centrum-klienta/formularze-i-dokumenty/","2025","74,48%","2719","Internal HTML pages with a 2xx response or 3xx responses"
"https://axa.pl/o-nas/partnerzy/","2025","74,48%","2719","Internal HTML pages with a 2xx response or 3xx responses"
"https://axa.pl/centrum-klienta/zgloszenie-zdarzenia/","2025","74,48%","2719","Internal HTML pages with a 2xx response or 3xx responses"
"https://axa.pl/centrum-klienta/zgloszenie-zdarzenia/ubezpieczenia-na-zycie-zdrowie-nnw-inwestycje/status-zgloszenia-w-axa-sprawdz-swoje-zgloszenie/","2025","74,48%","2719","Internal HTML pages with a 2xx response or 3xx responses"
"https://axa.pl/o-nas/kariera/","2025","74,48%","2719","Internal HTML pages with a 2xx response or 3xx responses"
"https://axa.pl/o-nas/axa-w-polsce/","2025","74,48%","2719","Internal HTML pages with a 2xx response or 3xx responses"
"https://axa.pl/centrum-klienta/","2025","74,48%","2719","Internal HTML pages with a 2xx response or 3xx responses"
"https://axa.pl/","2025","74,48%","2719","Internal HTML pages with a 2xx response or 3xx responses"
"https://axa.pl/centrum-klienta/szybki-kontakt/","2025","74,48%","2719","Internal HTML pages with a 2xx response or 3xx responses"
"https://axa.pl/logowanie/","2025","74,48%","2719","Internal HTML pages with a 2xx response or 3xx responses"
"https://axa.pl/dane-osobowe/","2025","74,48%","2719","Internal HTML pages with a 2xx response or 3xx responses"
"https://axa.pl/o-nas/nagrody/","2025","74,48%","2719","Internal HTML pages with a 2xx response or 3xx responses"
"https://axa.pl/mapa-serwisu/","2025","74,48%","2719","Internal HTML pages with a 2xx response or 3xx responses"
"https://axa.pl/o-nas/centrum-informacyjne/","2025","74,48%","2719","Internal HTML pages with a 2xx response or 3xx responses"
""
"Response Time (Seconds)","Number of URI","% of Total"
"1","8702","97.47"
"2","32","0.36"
"3","6","0.07"
"4","1","0.01"
"5","0","0.0"
"6","0","0.0"
"7","0","0.0"
"8","0","0.0"
"9","0","0.0"
"10","0","0.0"
"11","1","0.01"
