"Crawl Overview Report by the Screaming Frog SEO Spider (9.4)"
"Site Crawled","http://pizzahut.pl/"
"Date","piątek, lip 27, 2018"
"Time","07:47:32 CEST"
""
"Summary","Number of URI","% of Total URI","Total URI","Total URI Description"
"Noindex Confirmation Links","0","0,00%","522","Internal pages with 2xx response"
"Incorrect Language Codes","0","0,00%","522","Internal pages with 2xx response"
"Multiple Entries","0","0,00%","522","Internal pages with 2xx response"
"Missing Self Reference","0","0,00%","522","Internal pages with 2xx response"
"Not Using Canonical","0","0,00%","522","Internal pages with 2xx response"
"Missing X-Default","0","0,00%","522","Internal pages with 2xx response"
"Missing","522","100,00%","522","Internal pages with 2xx response"
""
"AJAX"
"All","46","100,00%","46","Internal pages crawled in escaped fragment form"
"With hash fragment","46","100,00%","46","Internal pages crawled in escaped fragment form"
"Without hash fragment","0","0,00%","46","Internal pages crawled in escaped fragment form"
""
"Custom"
"Filter 1","0","0,00%","446","Internal HTML pages with 2xx response"
"Filter 2","0","0,00%","446","Internal HTML pages with 2xx response"
"Filter 3","0","0,00%","446","Internal HTML pages with 2xx response"
"Filter 4","0","0,00%","446","Internal HTML pages with 2xx response"
"Filter 5","0","0,00%","446","Internal HTML pages with 2xx response"
"Filter 6","0","0,00%","446","Internal HTML pages with 2xx response"
"Filter 7","0","0,00%","446","Internal HTML pages with 2xx response"
"Filter 8","0","0,00%","446","Internal HTML pages with 2xx response"
"Filter 9","0","0,00%","446","Internal HTML pages with 2xx response"
"Filter 10","0","0,00%","446","Internal HTML pages with 2xx response"
"Extraction","0","0,00%","446","Internal HTML pages with 2xx response"
""
"Analytics"
"All","457","100,00%","457","Internal URI with associated Google Analytics data"
"Sessions Above 0","0","0,00%","457","Internal URI with associated Google Analytics data"
"Bounce Rate Above 70%","0","0,00%","457","Internal URI with associated Google Analytics data"
"No GA Data","0","0,00%","457","Internal URI with associated Google Analytics data"
""
"Search Console"
"All","457","100,00%","457","Internal URI with associated Google Search Console data"
"Clicks Above 0","0","0,00%","457","Internal URI with associated Google Search Console data"
"No GSC Data","0","0,00%","457","Internal URI with associated Google Search Console data"
""
"Link Metrics"
"All","452","100,00%","452","Link Metrics All"
""
""
"Depth (Clicks from Start URL)"
"0","0","0,00%","446","Internal HTML pages with 2xx response"
"1","1","0,22%","446","Internal HTML pages with 2xx response"
"2","15","3,36%","446","Internal HTML pages with 2xx response"
"3","57","12,78%","446","Internal HTML pages with 2xx response"
"4","164","36,77%","446","Internal HTML pages with 2xx response"
"5","151","33,86%","446","Internal HTML pages with 2xx response"
"6","45","10,09%","446","Internal HTML pages with 2xx response"
"7","11","2,47%","446","Internal HTML pages with 2xx response"
"8","2","0,45%","446","Internal HTML pages with 2xx response"
"9","0","0,00%","446","Internal HTML pages with 2xx response"
"10+","0","0,00%","446","Internal HTML pages with 2xx response"
""
"Inlinks (Top 20 URI)"
"https://pizzahut.pl/menu/preview/delivery","444","99,55%","446","Internal HTML pages with a 2xx response or 3xx responses"
"https://pizzahut.pl/nutrional_facts","444","99,55%","446","Internal HTML pages with a 2xx response or 3xx responses"
"https://pizzahut.pl/contact","444","99,55%","446","Internal HTML pages with a 2xx response or 3xx responses"
"https://pizzahut.pl/menu/preview/dine_in","444","99,55%","446","Internal HTML pages with a 2xx response or 3xx responses"
"https://pizzahut.pl/information","444","99,55%","446","Internal HTML pages with a 2xx response or 3xx responses"
"https://pizzahut.pl/faq","444","99,55%","446","Internal HTML pages with a 2xx response or 3xx responses"
"http://restauracje.pizzahut.pl/","444","99,55%","446","Internal HTML pages with a 2xx response or 3xx responses"
"https://pizzahut.pl/terms_of_use","444","99,55%","446","Internal HTML pages with a 2xx response or 3xx responses"
"https://pizzahut.pl/","360","80,72%","446","Internal HTML pages with a 2xx response or 3xx responses"
"https://pizzahut.pl/menu/preview/takeaway","354","79,37%","446","Internal HTML pages with a 2xx response or 3xx responses"
"https://pizzahut.pl/takeaway","354","79,37%","446","Internal HTML pages with a 2xx response or 3xx responses"
"https://pizzahut.pl/promotions","354","79,37%","446","Internal HTML pages with a 2xx response or 3xx responses"
"http://restaurants.pizzahut.pl/","352","78,92%","446","Internal HTML pages with a 2xx response or 3xx responses"
"https://pizzahut.pl/promotions/giftCards","92","20,63%","446","Internal HTML pages with a 2xx response or 3xx responses"
"https://pizzahut.pl/niedziele","92","20,63%","446","Internal HTML pages with a 2xx response or 3xx responses"
"http://restauracje.pizzahut.pl/pizza/pl/Warszawa","51","11,43%","446","Internal HTML pages with a 2xx response or 3xx responses"
"http://restaurants.pizzahut.pl/pizza/pl/Warszawa","51","11,43%","446","Internal HTML pages with a 2xx response or 3xx responses"
"https://pizzahut.pl/promotions?promotion=dine_in","50","11,21%","446","Internal HTML pages with a 2xx response or 3xx responses"
"http://restauracje.pizzahut.pl/pl/wojewodztwo-mazowieckie","46","10,31%","446","Internal HTML pages with a 2xx response or 3xx responses"
"http://restaurants.pizzahut.pl/pl/wojewodztwo-mazowieckie","46","10,31%","446","Internal HTML pages with a 2xx response or 3xx responses"
""
"Response Time (Seconds)","Number of URI","% of Total"
"1","595","89.34"
"2","53","7.96"
"3","17","2.55"
